spotify_id,track_name,artist_name,spotify_release_date,discogs_title,discogs_year
2vwlzO0Qp8kfEtzTsCXfyE,wrecking ball,Miley Cyrus,2013-10-04,Miley Cyrus - Wrecking Ball Remixes,2011
5ZrDlcxIDZyjOzHdYW1ydr,barbie girl,Aqua,1997-01-01,Aqua - Barbie Girl,1997
5jE48hhRu8E6zBDPRSkEq7,all about that bass,Meghan Trainor,2015-01-09,Meghan Trainor - All About That Bass,2014
6mUQ6NW9WRcCuSsi4kzdlf,un rayo de sol,Los Diablos,2013-01-02,Los Diablos (2) - Un Rayo De Sol,1970
4SGBuq37Ol4HJr7pQqFMKa,i got you babe,Sonny & Cher,1965,Sonny & Cher - I Got You Babe,1965
3yzHIAzk3zVE1WgspS8W21,vivir así es morir de amor,Camilo Sesto,1978-01-02,Camilo Sesto - Vivir Asi Es Morir De Amor,1978
2LScqpywMqGcnum6nNaxXX,"yes sir, i can boogie",Baccara,1998,"Baccara - Yes Sir, I Can Boogie",1977
0bEA0mMgXheXnahvIbIQfg,bailando - spanish version,Enrique Iglesias,2015-02-01,Enrique Iglesias - Sex And Love,2014
3DamFFqW32WihKkTVlwTYQ,fireflies,Owl City,2009-01-01,Owl City - Fireflies,2009
11mwFrKvLXCbcVGNxffGyP,genie in a bottle,Christina Aguilera,1999,Christina Aguilera - Genie In A Bottle,1999
6pPWRBubXOBAHnjl5ZIujB,the best,Tina Turner,1989-09-13,Tina Turner - The Best,1989
33LC84JgLvK2KuW43MfaNq,"my heart will go on - love theme from ""titanic""",Céline Dion,1997-11-14,"Celine Dion* - My Heart Will Go On (Love Theme From ""Titanic"")",1997
1Hud0EePGdcqcHIIDksq3R,volando voy,Kiko Veneno,1992,Kiko Veneno - Fuego / Volando Voy,1994
4sCSUQnWQ6HJsOMjfPicdn,danza kuduro,Don Omar,2011-01-01,Don Omar - Don Omar Presents Meet The Orphans (Deluxe Edition),2010
6120uJUyg6QDzaAJUosTx5,knock on wood,Amii Stewart,2012-10-17,Amii Stewart - Knock On Wood,1978
5JOVSWohrjXW0BFTboh8XO,don't go,Yazoo,1982-07-01,Yazoo - Upstairs At Erics,1991
7idTMG6EKZy0531lIx8RJ5,"rigoletto: ""la donna e' mobile""",Enrico Caruso,2011-10-24,"Enrico Caruso - Rigoletto, La Donna È Mobile",1909
6habFhsOp2NvshLv26DqMb,despacito,Luis Fonsi,2019-02-01,Luis Fonsi - Despacito (Versión Pop),2017
4CeeEOM32jQcH3eN9Q2dGj,smells like teen spirit,Nirvana,1991-09-26,Nirvana - Smells Like Teen Spirit,1991
2i7SlECYIAsT72FpLUU1Uj,me gustas mucho,Rocío Dúrcal,1992-10-14,Rocío Dúrcal - Canciones De Juan Gabriel ,1975
0UAJH0k4k3slcE83a9UGCe,lola,The Kinks,1970-11-27,The Kinks - Lola / Victoria,1970
1hj6nYHeGclSY0VNTHMi27,amante bandido,Miguel Bosé,1984-02-22,Miguel Bosé - Amante Bandido,1984
7BKLCZ1jbUBVqRi2FVlTVw,closer,The Chainsmokers,2016-07-29,The Chainsmokers Feat. Halsey - Closer (Remixes),2016
1c0zagykmGPDYuxJeDqZhJ,world hold on (children of the sky) [radio edit],Bob Sinclar,2006-06-06,"Bob Sinclar - World, Hold On (Children Of The Sky)",2006
5tsDJt6Riyi26vowpb6FLs,tu enemigo,Pablo López,2015-09-04,Pablo López (2) - El Mundo Y Los Amantes Inocentes,2015
4QlzkaRHtU8gAdwqjWmO8n,friday i'm in love,The Cure,1992-01-01,The Cure - Wish,1992
7egg6pLQbewWGalcr241Rz,tengo una debilidad,Antonio Machín,2012-10-10,Antonio Machín - Esperanza,1961
0M2tanh26PWePnaGVV3h3y,salta!!!,Tequila,1981-01-04,Tequila (9) - Tequila,1990
77eDrs7w2utSdbBdpbefol,no me importa nada,Luz Casal,1989-03-01,Luz* - No Me Importa Nada ,1989
1F43XlPBiwAUUIhrUGzylO,never ending story,Limahl,2009-09-25,Limahl - The Never Ending Story,1984
0Uzf6J45f8K4qaVppjVb6N,mi carro,Manolo Escobar,1991-10-14,Manolo Escobar - Mi Carro / Brindis,1969
4PRJD9T23GQKQYKhJQcGGY,aquí no hay playa,The Refrescos,1989-01-01,The Refrescos - Aquí No Hay Playa,1989
1OxcIUqVmVYxT6427tbhDW,fly away,Lenny Kravitz,1998-05-12,Lenny Kravitz - Fly Away,1998
6kWJvPfC4DgUpRsXKNa9z9,all that she wants,Ace of Base,1993-12-24,Ace Of Base - All That She Wants,1992
2YWjW3wwQIBLNhxWKBQd16,lean on (feat. mø & dj snake),Major Lazer,2015-11-27,Major Lazer - Transmission 5 Pirate Radio,2015
7aQjPecQdIuNd1sz3KCDhD,lovefool,The Cardigans,1996-01-01,The Cardigans - Love Me Fool Me (The Todd Terry Remixes),1996
6Tnnk7MAnZiDx67DJN2hnx,mi gran noche,Raphael,1967-12-30,Raphael (2) - Lo último y Lo Mejor De... Raphael,1967
5zHvsFZoCzLmhbRbYDkg42,la revolución sexual,La Casa Azul,2007-11-03,La Casa Azul - La Revolución Sexual,2007
3cbV252akVZInSvJk7jAYX,flashdance...what a feeling - radio edit,Irene Cara,1983-11-02,Irene Cara - What A Feelin',1997
4w1lzcaoZ1IC2K5TwjalRP,a thousand miles,Vanessa Carlton,2002-04-30,Vanessa Carlton - A Thousand Miles,2001
4oCGALJSQZxLnsnPPgShln,veneno en la piel,Radio Futura,1990-03-20,Radio Futura - Veneno En La Piel,1990
2uQPeyP4Y15jrlJbc5SRwm,soy minero,Antonio Molina,1996,"Antonio Molina (2) - De la Película ""Esa Voz Es Una Mina""",1955
4kYdaN5ECfrCPPuUUiCiTr,que hace una chica como tu en un sitio como este,Burning,2013-02-01,Burning - Que Hace Una Chica Como Tú En Un Sitio Como Este,1978
4Y6cDd4EPHcEbiUKdyvNwM,macarena,Los Del Rio,1993-12-13,Los Del Rio - Macarena,1993
1QEEqeFIZktqIpPI4jSVSF,more than a feeling,Boston,1976,Boston - More Than A Feeling,1976
1w2Nnj1HEUgoOglVRWfZj8,me cuesta tanto olvidarte,Mecano,1986-06-16,Mecano - Me Cuesta Tanto Olvidarte,1986
27u17peWruKyUe7RfBglZC,el reloj,Los Tres Caballeros,1994-09-28,Los Tres Caballeros - El Reloj / La Barca ,1957
127QTOFJsJQp5LbJbu3A1y,toosie slide,Drake,2020-04-03,Drake - Toosie Slide,2020
4gphxUgq0JSFv2BCLhNDiE,jailhouse rock,Elvis Presley,1958-03-21,Elvis Presley - Treat Me Nice / Jailhouse Rock,1957
1B0BQaSRHxhI0AUlItY3LK,malamente - cap.1: augurio,ROSALÍA,2018-11-02,Rosalía (3) - Malamente,2018
6DSvUZQdqtNfkJI4cAiUsM,the twist,Chubby Checker,1962-01-01,Chubby Checker - Bailemos Twist Otra Vez = Let's Twist Again,1961
2EM9zpAc7PVeoAydmbfVIL,la camisa negra,Juanes,2004-01-01,Juanes - ECD Pro Kit,2004
1Qo29QfhrhhhoniBr1WCDq,que nadie,Manuel Carrasco,2009-01-01,Manuel Carrasco - Inercia,2008
6buqYaAyimysMjE8yuiaXy,cuéntame,Formula V,1985-01-01,Formula V (2) - Cuentame,1969
5haXbSJqjjM0TCJ5XkfEaC,i got you (i feel good),James Brown & The Famous Flames,1966-01-01,James Brown & The Famous Flames - I Got You (I Feel Good),1965
2xUl8Bp6eLddk5mdv8I2Wo,cuando me siento bien,Efecto Pasillo,2015-12-20,Efecto Pasillo - Tiembla La Tierra,2015
1zusIxNqJu8i4g6P6hJ2Qa,mercy,Duffy,2008,Duffy - Mercy,2007
1nUsGqyLqbOAnAtduWGNOU,el baúl de los recuerdos,Karina,1970,Karina (4) - Regresarás / El Baul De Los Recuerdos,1969
1ExfPZEiahqhLyajhybFeS,the lazy song,Bruno Mars,2010-10-05,Bruno Mars - Doo-Wops & Hooligans,2010
5DIovqjO8pCMkA6L1FXrXl,estando contigo,Conchita Bautista,2013-02-01,Conchita Bautista - Estando Contigo,1961
29opVIw8I1BOZntEn3Un2I,la puerta de alcalá,Ana Belén,1979,Ana Belen* Y Victor Manuel* - La Puerta De Alcalá,1986
6naxalmIoLFWR0siv8dnQQ,oops!...i did it again,Britney Spears,2000-05-16,Britney Spears - Oops!...I Did It Again,2000
3ySFQwBgaHN2mlLxY6A0ic,you can get it if you really want,Jimmy Cliff,1995-08-10,Jimmy Cliff - You Can Get It If You Really Want,1970
6iNBM60VQtPUUhkKfwa5KV,it's my life,Bon Jovi,2010-11-09,Bon Jovi - it´s my life,2000
7aSxNjoVoAwNL7HDAKwGtC,¿y cómo es él?,José Luis Perales,1982-02-28,Jose Luis Perales* - Y ¿Cómo Es El? / Como Siempre,1982
1xNcBAoUw8Hz6LqK2jt4Ff,call on me - radio mix,Eric Prydz,2004-09-10,Eric Prydz - Call On Me,2004
4waqcUQWdj0yH26STWl2Rq,rosas,La Oreja de Van Gogh,2003,La Oreja De Van Gogh - Rosas,2003
1z3ugFmUKoCzGsI6jdY4Ci,like a prayer,Madonna,2009-09-18,Madonna - Like A Prayer,1989
3G9RQLOSjsXVUDyQSv2PQR,vivir sin aire,Maná,1992,Mana* - Vivir Sin Aire ,1992
0Q0IVlqMV64kNLlwjPj0Hl,killing me softly with his song,Fugees,1996-02-13,Fugees (Refugee Camp)* - The Score... Bootleg Versions,1996
0OteyYh6inrfcil1XGwC3r,bailando,Alaska Y Los Pegamoides,1982-10-13,Alaska Y Los Pegamoides - Bailando ,1982
4LFwNJWoj74Yd71fIr1W8x,right here waiting,Richard Marx,1989-01-01,Richard Marx - Right Here Waiting,1989
1suKCYjsR9rZKnFYM5uK1k,no controles,Ole Ole,2010-03-30,Ole Ole - No Controles,1983
5yqiverYlKEA0ly96HPq01,flying free - original mix,Pont Aeri,2013-02-11,Skudero & Xavi Metralla - Pont Aeri - Flying Free Remixes,2000
2Uy6EhQXAYkXA6MohPgjpV,one more time - radio edit [short radio edit],Daft Punk,2000-11-13,Daft Punk - One More Time,2000
6x4tKaOzfNJpEJHySoiJcs,mambo no. 5 (a little bit of...),Lou Bega,1999-07-19,Lou Bega - Mambo No. 5 (A Little Bit Of...),1999
1PpOqYZsUCecuOfLELmgOI,bésame mucho,Emilio Tuero,2014-10-27,Emilio Tuero - 22 Recuerdos Inolvidables de Emilio Tuero Versiones Originales,1985
19CmuECYssqkPWANF4nLWM,para no verte más,La Mosca Tse-Tse,2000,La Mosca Tsé-Tsé - Para No Verte Mas,1999
5zyrEv4F3FaLECI8TOKpFM,nel blu dipinto di blu,Domenico Modugno,2008-04-28,"Domenico Modugno - Nel Blu, Dipinto Di Blu",1958
4MzXwWMhyBbmu6hOcLVD49,dákiti,Bad Bunny,2020-11-27,Bad Bunny x Jhay Cortez - DÁKITI,2020
5ddFjrPG8NgQQ6xlOQIVd2,tú me dejaste de querer,C. Tangana,2021-02-26,"C. Tangana Featuring Niño De Elche, La Húngara - Tú Me Dejaste De Querer",2020
3QHMxEOAGD51PDlbFPHLyJ,vivir mi vida,Marc Anthony,2013-07-23,Marc Anthony - Marc Anthony,2009
72TFWvU3wUYdUuxejTTIzt,work,Rihanna,2016-01-28,Rihanna - Work Dance Remixes,2016
5WovBMPS14QCqKgBEM1PaO,sobreviviré,Monica Naranjo,1994,Mónica Naranjo - Sobreviviré Exa Fm,2000
0yUsNnKCxe7r68qzEjbOaB,carolina,M-Clan,2018-03-16,M-Clan - Sin Enchufe,2000
51qi5dgc9CsotM87GmRkAX,don't leave me this way,Thelma Houston,1976-01-01,Thelma Houston - Any Way You Like It,1976
5jUA1njy3h6ynHLvPdEVHt,disco inferno,The Trammps,1976,The Trammps - Disco Inferno,1976
79HTe42PihWUUq4BDjcuCq,usted,Juan Magán,2018-03-30,Juan Magan - 4.0,2019
1Jaah2tmN9Hv81A87KZ1MU,torn,Natalie Imbruglia,1997-11-10,Natalie Imbruglia - Torn,1997
09lZ2Mx2NSpzy6KBpX2kDq,gimme hope jo'anna,Eddy Grant,2010-03-22,Eddy Grant - Gimme Hope Jo'Anna,1988
78WVLOP9pN0G3gRLFy1rAa,piano man,Billy Joel,1973-11-09,Billy Joel - Piano Man,1973
08HeIb9BidFjKROf9ptln0,eres tú,Mocedades,1994-06-22,Mocedades -  Eres Tu (Touch The Wind),1973
3XIEWK1V9n25PS9Vb6axj5,born to be alive - the original,Patrick Hernandez,1978,Remix Machine Starring Patrick Hernandez - Born To Be Alive,1987
1Wrzhfa5bNlqvsnCztz190,devuélveme a mi chica,Hombres G,1985,Hombres-G* - Devuelveme A Mi Chica,1985
3XDeeP9wBZzGhIPZmLfEEx,karma chameleon,Culture Club,1983-10-01,Culture Club - Karma Chameleon,1983
4H1iMlEWKZmpKTHCZzDhju,you can't hurry love,The Supremes,1966-08-25,Diana Ross And The Supremes* - Diana Ross And The Supremes Greatest Hits,1968
0UY0JLj9kxOlgF6FHogCmX,mala vida,Mano Negra,1989-05-01,Mano Negra - Mala Vida,1988
2knr7ikPt4l7bk92qS4ZXW,euphoria,Loreen,2012-10-19,Loreen - Euphoria (Remixes),2012
2wvmkXG4foIJ2xUiwLhBjA,moving,Macaco,2009-03-03,Macaco - Moving,2009
3BdId1EhcMX7yAzwzQJLAD,barcelona,Freddie Mercury,2016-09-02,Freddie Mercury - Barcelona,1987
3WMbD1OyfKuwWDWMNbPQ4g,daddy cool,Boney M.,1976,Boney M* - Daddy Cool,1976
1r299qCKBLgUS9XJ9m1kEx,moves like jagger,Maroon 5,2015-09-25,Maroon 5 Featuring Christina Aguilera - Moves Like Jagger Remixes,2011
3PQLYVskjUeRmRIfECsL0X,no woman no cry,Bob Marley & The Wailers,1974,Bob Marley & The Wailers - No Woman No Cry / Bend Down Low,1974
5QfmCmdL4qnzqMz5Z0gvzV,te estoy amando locamente,Las Grecas,1974-10-23,Las Grecas - Te Estoy Amando Locamente,1973
0TK2YIli7K1leLovkQiNik,señorita,Shawn Mendes,2019-06-21,Shawn Mendes & Camila Cabello - Señorita,2019
2goLsvvODILDzeeiT4dAoR,believe,Cher,1998,Cher - Believe,1998
5IVuqXILoxVWvWEPm82Jxr,crazy in love (feat. jay-z),Beyoncé,2003-06-24,Beyoncé - Crazy In Love,2003
1kgBwPl0UUHz97Krp65zF4,me encanta - i love it,Nancys Rubias,2013-06-25,Nancys Rubias - Me Encanta (I Love It),2013
7mitXLIMCflkhZiD34uEQI,party rock anthem,LMFAO,2011-01-01,LMFAO - Party Rock Anthem (The Remixes),2011
0DjSa6czo5ywsf6iCtZW5A,cannabis,Ska-P,1996-03-01,Ska-P - Cannabis,1996
1sMgCr1RH0HfAazVZt9xmZ,el secreto de las tortugas,Maldita Nerea,2009-05-07,Maldita Nerea - El Secreto De Las Tortugas,2007
2tpWsVSb9UEmDRxAl1zhX1,counting stars,OneRepublic,2013-01-01,OneRepublic - Counting Stars,2013
7BYqVvoXpQFhs4jJ0qqNZt,entre dos tierras,Heroes Del Silencio,1990,Héroes Del Silencio - Entre Dos Tierras,1990
4wzt5Rrk3W98pHXAqutuJw,talk,Coldplay,2005-06-07,Coldplay - Talk,2005
3unsLiH5FXmaDWtT5Imolu,fallin',Alicia Keys,2001-06-26,Alicia Keys - Fallin',2001
1ApXNkjfjxkSDoezO8Kh8g,"la, la, la",Massiel,1966,"Massiel - He Gives Me Love (La, La, La) / La, La, La",1968
7gEpTMp9MQc1uJwivtL37R,do wah diddy diddy,Manfred Mann,1964,Manfred Mann - Do Wah Diddy Diddy ,1964
3JOXwHPhtdRU3kYKcf64Gj,pero a tu lado,Los Secretos,1995-01-01,Los Secretos - Pero A Tu Lado,1995
3d9DChrdc6BOeFsbrZ3Is0,under the bridge,Red Hot Chili Peppers,1991-09-24,Red Hot Chili Peppers - Under The Bridge / Give it Away,1991
3U4isOIWM3VvDubwSI3y7a,all of me,John Legend,2013-08-30,"Stevie Wonder, John Legend - Rest In Peace Michael ",2009
1PZrHbJjt5t7dP9OGRxcD0,dale don dale,Don Omar,2003-01-01,Don Omar - The Last Don (Album Sampler),2003
59bqZ237MW9CvFRLqu6Dgg,te he echado de menos - radio edit,Pablo Alborán,2011-02-01,Pablo Alborán - Tanto (Nueva Edición),NA
5U4pDBaeq2Jl2dKuWWUSsh,ave maría,David Bisbal,2002-01-01,David Bisbal - Ave Maria (Remixes),2002
5vj59ONIVbyhcrI8ZSwoRo,sofia,Alvaro Soler,2016-07-15,Alvaro Soler - Sofia (Remixes),2016
4JOsL8WntMIwDeNQlKAwdA,me colé en una fiesta,Mecano,1998-03-24,Mecano - Me Colé En Una Fiesta,1982
17qIyxyDWmNP7Rn11eprMt,tequila,The Champs,1958-01-01,The Champs - Tequila / Train To Nowhere,1958
1JSTJqkT5qHq8MDJnJbRE1,every breath you take,The Police,1983-06-17,The Police - Every Breath You Take,1983
4unOsvr9C2NqI9aJXrxpCy,sirenas,Taburete,2016-11-18,Taburete (2) - Dr.Charas,2016
3Ud6fFep5ZlXzRWw6Sm8no,walk of life,Dire Straits,1985-05-13,Dire Straits - So Far Away,1985
5xzdDMhFYiuUONB0Mha9VS,the locomotion,Little Eva,1962-01-01,Little Eva - Locomotion,1963
2LsbizbOeNa4x6qsi2jAMb,la flaca,Jarabe De Palo,1996-09-30,Jarabe De Palo - La Flaca,1996
0wQCKR9OFjYu5Kzrk7WivJ,corazón partío,Alejandro Sanz,1997-08-28,Alejandro Sanz - Corazón Partío,1997
1s4hyUFWmLWiAamsclb4xA,"see you later, alligator",Bill Haley & His Comets,1991-01-01,"Bill Haley And His Comets - See You Later, Alligator / The Paper Boy",1955
7EZC6E7UjZe63f1jRmkWxt,zombie,The Cranberries,1994-10-03,The Cranberries - Zombie,1994
1eCie6lwjb4crxeAvkRaSi,y nos dieron las diez,Joaquín Sabina,1992-04-10,Joaquin Sabina* - Y Nos Dieron Las Diez,1992
1VB4sadHjFcFklHcZuoROi,como camarón,Estopa,1999-10-18,Estopa - La Maqueta ,1997
3uU6dqBjVKRTPis0RrTaT4,las de la intuición,Shakira,2005-06-03,Shakira - Fijación Oral Vol.1,2005
5QhOF5HXgZ0OFUZSE5kEv1,nada fue un error,Coti,2003-01-01,Coti* - Antes Que Ver,2002
0QQHPRbgLJJ5XNzJV1l9BW,maría,Ricky Martin,1995-09-12,Ricky Martin - Maria (Remixes),1995
5dg7OfEwTVvUZfqt24ObwI,sólo se vive una vez,Azucar Moreno,1997-11-13,Azucar Moreno - Solo Se Vive Una Vez (The Caribbean Remixes),1996
7e89621JPkKaeDSTQ3avtg,sweet home alabama,Lynyrd Skynyrd,1974-04-15,Lynyrd Skynyrd - Sweet Home Alabama ,1974
7LpS82vPDLgZAHWRtWBBRj,ni tú ni nadie,Alaska Y Dinarama,1984-05-29,Alaska Y Dinarama - Deseo Carnal,1984
5R8dQOPq8haW94K7mgERlO,poker face,Lady Gaga,2008-01-01,Lady Gaga - Poker Face (Remixes),2008
0Ouv1zi0SXDnFtREEsps4K,flamenco,Los Brincos,1964-01-09,Los Brincos - Flamenco / Cry,1964
2LjiPAQOVazT8sRyXL3XRs,informer,Snow,1993,Snow (2) - Informer,1992
6gMyJAtpnAOU92I9hjpSNe,sueño su boca,Raul,2001,Raúl (3) - Sueño Su Boca,2000
5zWZ9iNevP0397xB3jWV2z,brother louie,Modern Talking,1986,Modern Talking - Brother Louie,1986
48i055G1OT5KxGGftwFxWy,"oh, pretty woman",Roy Orbison,1962,"Roy Orbison -  It's Over / Oh, Pretty Woman ",1964
1k4kMMTPN5Yc0KdMxtMTuj,los chicos con las chicas,Los Bravos,1967,Los Bravos - Los Chicos Con Las Chicas,1967
4Tv8mqQc83OsQVXO4I0FTA,lloverá y yo veré,La Pegatina,2013-07-10,La Pegatina - Eureka!,2013
4awJGQ6TIS542X4XS7PWu7,a tu vera,Lola Flores,1991-06-26,Lola Flores - Lola Flores Vol.2,1955
20WaSPMyeIO7NntPpn1FM5,desesperada,Marta Sánchez,1993-01-01,Marta Sánchez - Desesperada,1993
0KM2y796j63t5RHhvRUxld,"relax, take it easy",MIKA,2006-01-01,"MIKA (8) - Relax, Take It Easy",2006
74anwTmdyvA3f8RUtCQqKD,déjame,Los Secretos,1981-01-15,Los Secretos - Déjame / Niño Mimado,1980
0Fyj9w0HVfjoxm9S8nGClt,orinoco flow,Enya,2001,Enya - Orinoco Flow,1988
57Y3UccJEJqT8w8RWkUAz0,upside down,Diana Ross,1980-05-22,Diana Ross - Upside Down,1980
4OSBTYWVwsQhGLF9NHvIbR,rolling in the deep,Adele,2011-01-24,Adele (3) - Rolling In The Deep (Remixes),2010
4chpfrjIqrOPshlDU4ZrKe,chica de ayer,Nacha Pop,1980-03-17,Nacha Pop - Chica De Ayer,1980
2DnJjbjNTV9Nd5NOa1KGba,you're so vain,Carly Simon,1972,Carly Simon - No Secrets,NA
7H8zey5My6uNdD2TxeCb9F,don't speak,No Doubt,1995-10-10,No Doubt - Sold Out!,1998
35hfuechuOqaW31ogdauO7,it's in the kiss (the shoop shoop song),Betty Everett,2010-12-07,Betty Everett - You're No Good,1963
1ILbD4eWKWvg8ub5qJyBTP,joyride,Roxette,1991-04-02,Roxette - Joyride,1991
5xXYuYk2CzHfk3kLKYmRRb,ni una sola palabra,Paulina Rubio,2006-01-01,Paulina Rubio - Ni Una Sola Palabra,2006
7j74lucZ59vqN67Ipe2ZcY,maneater,Daryl Hall & John Oates,1982-10-04,Daryl Hall & John Oates - Maneater,1982
0aGKNekx2JAxGzza802fnC,the ketchup song (aserejé) - spanish version,Las Ketchup,2002,Las Ketchup - The Ketchup Song (Asereje),2002
